x_m,y_m,w_tr_right_m,w_tr_left_m
0.688,-0.906,0.6,0.6
1.049,-1.92,0.6,0.6
1.95,-4.108,0.6,0.6
2.453,-6.082,0.6,0.6
2.522,-6.57,0.6,0.6
2.444,-6.922,0.6,0.6
2.181,-7.29,0.6,0.6
1.277,-7.851,0.6,0.6
-0.698,-8.757,0.6,0.6
-1.972,-9.2,0.6,0.6
-4.363,-10.04,0.6,0.6
-5.665,-10.615,0.6,0.6
-5.852,-10.719,0.6,0.6
-6.161,-10.994,0.6,0.6
-6.205,-11.405,0.6,0.6
-6.009,-12.139,0.6,0.6
-5.785,-12.619,0.6,0.6
-5.67,-12.863,0.6,0.6
-5.376,-13.186,0.6,0.6
-5.175,-13.232,0.6,0.6
-4.642,-13.272,0.6,0.6
-4.085,-13.115,0.6,0.6
-3.453,-12.924,0.6,0.6
-2.236,-12.462,0.6,0.6
-1.26,-12.196,0.6,0.6
-0.418,-11.838,0.6,0.6
0.512,-11.379,0.6,0.6
1.587,-10.849,0.6,0.6
3.682,-9.708,0.6,0.6
4.355,-9.275,0.6,0.6
5.063,-8.669,0.6,0.6
5.582,-7.996,0.6,0.6
5.927,-7.119,0.6,0.6
6.195,-6.046,0.6,0.6
6.294,-5.217,0.6,0.6
6.065,-4.417,0.6,0.6
5.765,-3.476,0.6,0.6
5.466,-2.774,0.6,0.6
4.971,-1.823,0.6,0.6
4.518,-0.906,0.6,0.6
4.092,-0.21,0.6,0.6
3.58,0.552,0.6,0.6
3.327,0.908,0.6,0.6
3.034,1.223,0.6,0.6
2.767,1.363,0.6,0.6
2.419,1.463,0.6,0.6
1.684,1.346,0.6,0.6
1.287,1.248,0.6,0.6
0.808,0.873,0.6,0.6
0.515,0.444,0.6,0.6
0.462,0.183,0.6,0.6
0.477,-0.212,0.6,0.6
0.688,-0.906,0.6,0.6
