s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,5.15,-0.04714,1.57079,-0.71484,-0.08518
0.6,0.131,4.84,-0.04823,1.57080,-0.75720,0.05092
1.2,0.277,4.47,-0.04308,1.57080,-0.70821,0.18183
1.8,0.445,4.06,-0.02368,1.57080,-0.55556,0.31197
2.4,0.644,3.44,0.01668,1.57080,-0.27656,0.46711
3.0,0.846,3.75,0.04544,1.57080,0.09591,0.51062
3.6,0.998,3.99,0.03671,1.57080,0.38398,0.40402
4.2,1.106,4.16,0.03233,1.57080,0.52846,0.17526
4.8,1.196,4.29,0.02874,1.57080,0.55657,-0.08492
5.4,1.292,4.42,0.02512,1.57080,0.48514,-0.29360
6.0,1.405,4.59,0.02095,1.46241,0.31329,-0.41532
6.6,1.537,4.80,0.01530,1.17052,0.05921,-0.44902
7.2,1.673,5.03,0.00444,0.36865,-0.23002,-0.44192
7.8,1.796,5.25,-0.00656,-0.53841,-0.50223,-0.42004
8.4,1.897,5.40,-0.00805,-1.13894,-0.71237,-0.35163
9.0,1.975,5.49,-0.00432,-1.37807,-0.83578,-0.20729
9.6,2.039,5.54,-0.00009,-1.45431,-0.87663,-0.01131
10.2,2.102,5.59,0.00268,-1.41597,-0.84399,0.18539
10.8,2.177,5.66,0.00196,-1.29982,-0.73211,0.33251
11.4,2.268,5.79,-0.00046,-1.17372,-0.54056,0.39988
12.0,2.372,5.96,-0.00151,-0.82752,-0.30054,0.39464
12.6,2.479,6.15,0.00034,-0.16398,-0.06193,0.34706
13.2,2.579,6.32,0.00169,0.55068,0.13154,0.26481
13.8,2.668,6.46,-0.00222,1.04459,0.24756,0.13258
14.4,2.750,6.55,-0.00818,1.21922,0.27082,-0.03778
15.0,2.832,6.67,-0.00858,1.05803,0.19860,-0.20277
15.6,2.921,6.82,-0.00335,0.58692,0.03336,-0.32875
16.2,3.015,6.98,-0.00079,-0.25716,-0.20561,-0.40216
16.8,3.105,6.66,0.01484,-1.29095,-0.45007,-0.40505
17.4,3.182,6.51,0.03041,-1.53604,-0.61886,-0.29396
18.0,3.246,6.40,0.04506,-1.56108,-0.68615,-0.09750
18.6,3.309,6.26,0.05610,-1.41887,-0.66127,0.11201
19.2,3.386,6.00,0.04854,-0.74756,-0.54196,0.26773
19.8,3.489,5.42,0.00567,0.62377,-0.33320,0.38873
20.4,3.621,4.85,-0.00032,1.28556,-0.04949,0.45231
21.0,3.758,4.45,0.00179,1.57080,0.22695,0.42329
21.6,3.882,4.05,0.00950,1.57080,0.42113,0.30118
22.2,3.996,3.60,0.02455,1.57080,0.52240,0.12281
22.8,4.116,3.04,0.04998,1.57080,0.55179,-0.04805
23.4,4.248,3.25,0.06020,1.57080,0.52499,-0.18520
24.0,4.387,3.48,0.05188,1.57080,0.44453,-0.25690
24.6,4.531,3.70,0.04489,1.57080,0.32889,-0.28496
25.2,4.676,3.93,0.03835,1.57080,0.19056,-0.29809
25.8,4.823,4.16,0.03221,1.57080,0.03411,-0.30089
26.4,4.972,4.36,0.02652,1.57080,-0.13198,-0.28387
27.0,5.119,4.56,0.02123,1.51090,-0.29129,-0.24704
27.6,5.262,4.78,0.01668,1.40968,-0.42793,-0.19808
28.2,5.399,4.99,0.01282,1.36580,-0.53006,-0.13533
28.8,5.528,5.19,0.00948,1.32423,-0.58807,-0.06083
29.4,5.650,5.38,0.00710,1.15374,-0.59970,0.01017
30.0,5.765,5.56,0.00515,0.90563,-0.57175,0.06783
30.6,5.875,5.75,0.00331,0.65801,-0.51418,0.11076
31.2,5.980,5.93,0.00186,0.45720,-0.43548,0.14187
31.8,6.082,6.10,0.00087,0.30246,-0.34177,0.16341
32.4,6.180,6.28,0.00031,0.19284,-0.23804,0.17637
33.0,6.276,6.44,0.00005,0.12633,-0.12903,0.18103
33.6,6.370,6.61,-0.00004,0.10061,-0.01974,0.17751
34.2,6.461,6.77,-0.00011,0.11316,0.08478,0.16652
34.8,6.549,6.92,-0.00028,0.16098,0.18013,0.14976
35.4,6.635,7.07,-0.00066,0.23967,0.26336,0.12970
36.0,6.717,7.21,-0.00135,0.34213,0.33312,0.10835
36.6,6.797,7.35,-0.00241,0.45679,0.38863,0.08512
37.2,6.874,7.47,-0.00382,0.56592,0.42745,0.05431
37.8,6.950,7.30,-0.00952,0.78968,0.44333,0.01285
38.4,7.026,6.96,-0.01753,0.98376,0.42744,-0.04866
39.0,7.105,6.66,-0.02150,1.04401,0.36866,-0.13603
39.6,7.189,6.39,-0.02346,1.15188,0.25500,-0.23402
40.2,7.284,6.13,-0.02612,1.29296,0.07955,-0.31119
40.8,7.391,5.90,-0.03064,1.42041,-0.14681,-0.33882
41.4,7.509,5.66,-0.03654,1.50502,-0.38614,-0.30374
42.0,7.631,5.42,-0.04256,1.55422,-0.58714,-0.21192
42.6,7.755,5.15,-0.04714,1.57079,-0.71484,-0.08518
